Audio;m4a;128kbps;4.84MiB
Audio;m4a;48kbps;1.83MiB
Video;webm;2160p;954.14MiB
Video;webm;2160p;1082.96MiB
Video;webm;1440p;389.75MiB
Video;webm;1440p;607.9MiB
Video;webm;1080p;128.03MiB
Video;webm;1080p;251.71MiB
Video;webm;720p;70.76MiB
Video;webm;720p;162.04MiB
Video;webm;480p;25.08MiB
Video;webm;480p;68.92MiB
Video;webm;360p;13.83MiB
Video;webm;360p;35.71MiB
Video;webm;240p;6.65MiB
Video;webm;240p;16.57MiB
Video;webm;144p;3.18MiB
Video;webm;144p;7.91MiB
Video;mp4;2160p;954.14MiB
Video;mp4;2160p;1082.96MiB
Video;mp4;2160p;435.51MiB
Video;mp4;2160p;937.95MiB
Video;mp4;1440p;389.75MiB
Video;mp4;1440p;607.9MiB
Video;mp4;1440p;207.25MiB
Video;mp4;1440p;531.3MiB
Video;mp4;1080p;168.04MiB
Video;mp4;720p;95.63MiB
Video;mp4;480p;21.38MiB
Video;mp4;360p;12.87MiB
Video;mp4;240p;6.0MiB
Video;mp4;144p;2.69MiB
